valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.371,2011,0.00847,['Grouplove'],0.56,218013,0.936,0,0GO8y8jQk1PkHzS31d699N,0,3,0.161,-5.835,1,Tongue Tied,82,02/09/2011,0.0439,112.96
0.965,2011,0.145,['Foster The People'],0.733,239600,0.71,0,7w87IxuO7BDcJ3YUqCyMTT,0.115,5,0.0956,-5.849,0,Pumped Up Kicks,84,23/05/2011,0.0292,127.975
0.216,2011,0.0531,['J. Cole'],0.831,235320,0.427,1,2wAJTrFhCnQyNSD3oUgTZO,0,2,0.307,-6.903,1,Work Out,79,27/09/2011,0.106,93.004
0.285,2011,0.892,['Adele'],0.559,285040,0.33,0,4kflIGfjdZJW4ot2ioixTB,0,9,0.0975,-8.251,1,Someone Like You,79,19/01/2011,0.0285,135.109
0.854,2011,0.498,['Justin Bieber'],0.657,182947,0.56,0,7xapw9Oy21WpfEcib2ErSA,0,6,0.0794,-9.049,0,Mistletoe,81,01/01/2011,0.0467,161.993
0.72,2011,0.591,"['Gotye', 'Kimbra']",0.864,244973,0.495,0,4wCmqSrbyCgxEXROQE6vtV,0.000133,0,0.0992,-7.036,1,Somebody That I Used To Know,75,01/01/2011,0.037,129.062
0.161,2011,0.309,['Christina Perri'],0.421,285120,0.407,0,6lanRgr6wXibZr8KgzXxBl,0.000961,10,0.11,-7.445,1,A Thousand Years,81,18/10/2011,0.0267,139.028
0.796,2011,0.0319,"['Gym Class Heroes', 'Adam Levine']",0.646,210960,0.795,0,0qOnSQQF0yzuPWsXrQ9paz,0,9,0.267,-3.293,1,Stereo Hearts (feat. Adam Levine),80,11/11/2011,0.0976,89.99
0.32,2011,0.0161,['M83'],0.526,241440,0.712,0,1eyzqe2QqGZUmfcPZtrIyt,0,11,0.179,-6.525,0,Midnight City,73,2011,0.0356,105.009
0.274,2011,0.386,['Coyote Theory'],0.278,242013,0.662,0,3sgf2a905hjZ81tXYytY6i,1.14E-05,9,0.134,-6.075,1,This Side of Paradise,79,21/06/2011,0.0295,181.683
0.775,2011,0.127,"['JAY-Z', 'Kanye West']",0.789,219333,0.858,1,4Li2WHPkuyCdtmokzW2007,0,1,0.349,-5.542,1,Ni**as In Paris,79,08/08/2011,0.311,140.022
0.927,2011,0.1,['Eric Church'],0.692,263387,0.809,0,05ZACkzW8YbRq3eFgIfSNB,9.77E-05,2,0.185,-5.935,1,Springsteen,73,01/01/2011,0.0255,104.023
0.814,2011,0.0764,['Hot Chelle Rae'],0.686,200467,0.783,0,2i0AUcEnsDm3dsqLrFWUCq,0,4,0.163,-4.977,1,Tonight Tonight,75,25/11/2011,0.119,99.978
0.312,2011,0.646,['Drake'],0.492,347227,0.26,1,047fCsbO4NdmwCBn8pcUXl,0.00178,9,0.0705,-17.341,0,Marvins Room,74,15/11/2011,0.0921,111.519
0.39,2011,0.000107,"['Drake', 'Lil Wayne']",0.766,181573,0.442,1,4Kz4RdRCceaA9VgTqBhBfa,6.12E-05,1,0.111,-8.558,1,The Motto,73,15/11/2011,0.356,201.8
0.3,2011,0.268,['Hunter Hayes'],0.421,228840,0.476,0,0p1BcEcYVO3uk4KDf3gzkY,0,0,0.0816,-7.692,1,Wanted,70,2011,0.0298,169.784
0.65,2011,0.0189,['Lupe Fiasco'],0.591,239613,0.889,1,4NTWZqvfQTlOMitlVn6tew,0,7,0.155,-3.839,1,The Show Goes On,73,04/03/2011,0.115,143.067
0.604,2011,0.000707,"['Lil Wayne', 'Cory Gunz']",0.365,248587,0.751,1,0z5ZPs57J2KERwM1tBM2GF,0,2,0.318,-5.429,1,6 Foot 7 Foot,70,01/01/2011,0.304,79.119
0.466,2011,0.00382,['Adele'],0.61,241693,0.683,0,3CKCZ9pfwAfoMZlMncA1Nc,1.79E-06,2,0.125,-3.879,0,Set Fire to the Rain,76,19/01/2011,0.0253,108.003
0.425,2011,0.365,['Drake'],0.636,235987,0.566,1,6LxSe8YmdPxy095Ux6znaQ,0.000353,6,0.0917,-7.16,0,Headlines,73,15/11/2011,0.106,151.894
0.946,2011,0.00635,['Eric Church'],0.626,191307,0.913,0,1cktZnxiONH0hR6Q3DKy8h,0,0,0.293,-4.452,1,Drink In My Hand,71,01/01/2011,0.0318,113.044
0.531,2011,0.0525,"['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",0.715,207333,0.655,1,5HQVUIKwCEXpe7JIHyY734,0,0,0.115,-6.425,1,"Young, Wild & Free (feat. Bruno Mars)",78,11/10/2011,0.137,95.078
0.225,2011,0.0343,['Young the Giant'],0.534,249520,0.721,0,1UqhkbzB1kuFwt2iy4h29Q,6.24E-06,11,0.115,-7.307,0,Cough Syrup,72,2011,0.0417,128.978
0.809,2011,0.208,['Jake Owen'],0.6,167427,0.808,0,3ts6xK5GzfMAAriT9AIBmP,0,4,0.196,-4.679,1,Barefoot Blue Jean Night,70,26/08/2011,0.0403,172.016
0.522,2011,0.131,['Adele'],0.729,228293,0.756,0,1CkvWZme3pRgbzaxZnTl5X,0,8,0.0527,-5.119,1,Rolling in the Deep,75,19/01/2011,0.0294,104.945
0.751,2011,0.135,['Nicki Minaj'],0.747,210627,0.716,1,1oHNvJVbFkexQc0BpQp7Y4,0,11,0.251,-2.457,0,Starships,71,01/01/2011,0.075,125.008
0.345,2011,0.611,"['Wale', 'Miguel']",0.512,213253,0.598,1,3MAgQuClHcAV8E9CbeBS6f,0,9,0.0881,-4.959,0,Lotus Flower Bomb (feat. Miguel),70,28/10/2011,0.115,70.189
0.529,2011,0.192,"['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",0.671,252307,0.939,0,4QNpBfC0zvjKqPJcyqBy9W,0,8,0.298,-3.206,1,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",79,17/06/2011,0.161,129.023
0.816,2011,0.0469,['Andy Grammer'],0.674,189933,0.778,0,4Jz4bjXeiF2SXVj9P4YfY5,0,0,0.145,-5.367,1,Keep Your Head Up,72,14/06/2011,0.0376,90.01
0.212,2011,0.0509,['Coldplay'],0.449,278719,0.585,0,6nek1Nin9q48AVZcWs9e9D,8.75E-05,5,0.0833,-6.761,1,Paradise,80,24/10/2011,0.0268,139.631
0.243,2011,0.452,['AWOLNATION'],0.825,259102,0.435,0,5xhQChGGhKLWqBqX4XhtYE,0.609,1,0.0953,-9.582,1,Sail,76,2011,0.0568,119.038
0.311,2011,0.0594,['Childish Gambino'],0.506,192947,0.745,1,799f6Ih1Pu4AUApMyXhxUc,0,8,0.341,-6.044,1,Bonfire,72,15/11/2011,0.331,161.808
0.719,2011,0.27,['Cody Johnson'],0.546,196907,0.838,0,24Nt4OalWDICkEKVy81X6k,1.24E-05,7,0.0841,-3.51,1,Diamond In My Pocket,69,31/10/2011,0.0319,151.914
0.671,2011,0.0293,['Luke Bryan'],0.645,225560,0.904,0,0yD66650JxhqKbW76C2qCo,0,2,0.0834,-4.532,1,Country Girl (Shake It For Me),70,09/08/2011,0.0462,105.97
0.169,2011,0.952,['Birdy'],0.379,201080,0.29,0,4RL77hMWUq35NYnPLXBpih,0.00106,4,0.118,-8.485,1,Skinny Love,76,04/11/2011,0.051,166.467
0.476,2011,0.337,['Bruno Mars'],0.576,257720,0.835,0,0RUGuh2uSNFJpGMSsD1F5C,0,2,0.082,-6.826,1,It Will Rain,67,04/11/2011,0.0486,150.017
0.538,2011,0.0339,"['Chris Brown', 'Lil Wayne', 'Busta Rhymes']",0.767,222587,0.677,1,3hsmbFKT5Cujb5GQjqEU39,5.51E-06,11,0.144,-6.128,0,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),72,22/03/2011,0.184,146.155
0.272,2011,0.296,['Aaron Lewis'],0.595,283347,0.667,0,77A7dWpSxVoauUbJn83Oj3,0,6,0.109,-6.442,1,Country Boy (feat. George Jones & Charlie Daniels),68,01/03/2011,0.034,121.949
0.37,2011,0.0584,['Frank Ocean'],0.762,302347,0.508,1,4osgfFTICMkcGbbigdsa53,0.00126,3,0.16,-9.112,1,Novacane,71,01/01/2011,0.0919,93.51
0.299,2011,0.0267,"['Drake', 'Rihanna']",0.629,277387,0.515,1,124NFj84ppZ5pAxTuVQYCQ,1.22E-05,0,0.0888,-10.358,0,Take Care,73,15/11/2011,0.265,121.845
0.364,2011,0.255,['Gavin DeGraw'],0.63,218520,0.894,0,6j7hih15xG2cdYwIJnQXsq,0,10,0.181,-4.592,1,Not Over You,71,16/09/2011,0.0544,142.051
0.457,2011,0.256,"['Tyler, The Creator', 'Frank Ocean']",0.351,253387,0.622,1,4y4KG66qCAN2TTevOAEjHy,3.44E-05,8,0.613,-6.495,0,She,67,09/05/2011,0.235,83.375
0.582,2011,0.33,['Kendrick Lamar'],0.609,215509,0.799,1,2Fw5S2gaOSZzdN5dFoC2dj,0,9,0.108,-6.883,1,A.D.H.D,71,02/07/2011,0.24,157.74
0.272,2011,0.000177,['Lil Wayne'],0.644,240307,0.661,0,4aX4Oycsk1fhHIee1zqsDe,5.14E-06,11,0.108,-6.093,1,How To Love,67,01/01/2011,0.0418,154.001
0.257,2011,0.000415,['Eli Young Band'],0.366,200707,0.651,0,1nVLAEzhBXMJLR5zAl90Nl,0.00526,4,0.271,-3.842,1,Crazy Girl,67,01/01/2011,0.031,151.343
0.644,2011,0.0149,['Falling In Reverse'],0.548,218787,0.855,0,1mB7dCUM7sPyNab6R43nlj,0,3,0.127,-3.266,1,The Drug In Me Is You,71,26/07/2011,0.151,145.133
0.359,2011,0.123,"['Drake', 'Lil Wayne']",0.444,206627,0.627,1,0m1KYWlT6LhFRBDVq9UNx4,0,7,0.0795,-8.744,0,HYFR (Hell Ya Fucking Right),69,15/11/2011,0.252,98.21
0.877,2011,0.00472,['Avril Lavigne'],0.578,220707,0.926,0,2z4U9d5OAA4YLNXoCgioxo,0.0127,6,0.14,-3.689,0,What the Hell,74,08/03/2011,0.0548,149.976
0.652,2011,0.0849,['Beyoncé'],0.652,267413,0.748,0,1z6WtY7X4HQJvzxC4UgkSf,0,0,0.604,-5.242,1,Love On Top,75,24/06/2011,0.0887,94.1
